mean,mean_se,mean_ci_lower,mean_ci_upper,Country,Year-Month
986.5234933572502,117.03938395489264,757.1305160329056,1215.916470681595,India,2025-08
1119.4276058014088,117.0393852175295,890.0346260023414,1348.8205856004763,India,2025-09
1582.0186640410634,117.03941330766285,1352.6256291863463,1811.4116988957805,India,2025-10
1797.7311540986661,117.04058914411117,1568.3358146468586,2027.1264935504737,India,2025-11
1452.7655674302391,117.09083707439554,1223.2717438447767,1682.2593910157016,India,2025-12
139.18742583425075,11.197693865059259,117.24034914882948,161.134502519672,Indonesia,2025-01
113.36081614886218,11.169280266928936,91.46942909244754,135.25220320527683,Indonesia,2025-02
137.81931964713837,11.176665969315033,115.91345688004645,159.7251824142303,Indonesia,2025-03
112.39247682633834,11.174833082322857,90.49020645173881,134.29474720093785,Indonesia,2025-04
149.27422400031762,11.175299983065582,127.371038517078,171.17740948355723,Indonesia,2025-05
130.56219418715216,11.175185243583941,108.65923358916416,152.46515478514016,Indonesia,2025-06
133.02137078243896,11.175230444948086,111.11832159140519,154.92441997347274,Indonesia,2025-07
133.87280746459538,11.17517962861049,111.96985787175312,155.77575705743763,Indonesia,2025-08
147.27469039844704,11.175375504627736,125.37135689566554,169.17802390122853,Indonesia,2025-09
203.98948155301588,11.174621857890132,182.08762517069715,225.8913379353346,Indonesia,2025-10
214.79436678832502,11.177633200312663,192.88660828331302,236.70212529333702,Indonesia,2025-11
171.36811655487477,11.165485426176616,149.48416724966177,193.25206586008778,Indonesia,2025-12
378.2786822165338,39.850566521168915,300.1730070715251,456.3843573615425,Italy,2025-01
348.349323598941,39.92602831571289,270.0957460544173,426.6029011434647,Italy,2025-02
415.4725455973889,39.93191052573151,337.2074391330792,493.73765206169855,Italy,2025-03
378.27490731087664,39.9323757434031,300.0088890366857,456.5409255850676,Italy,2025-04
343.3228648950656,39.93241493829972,265.0567698002889,421.5889599898423,Italy,2025-05
365.427846059348,39.932420609114146,287.16173984997926,443.6939522687167,Italy,2025-06
409.9716351065548,39.93242373818591,331.7055227643181,488.2377474487915,Italy,2025-07
341.63720615973784,39.932427898140666,263.3710856641396,419.90332665533606,Italy,2025-08
364.6581977334784,39.932447749953724,286.3920383290416,442.9243571379152,Italy,2025-09
598.1579663457829,39.93266680338359,519.8913776045129,676.424555087053,Italy,2025-10
622.5056584892641,39.93541116194349,544.233690904056,700.7776260744722,Italy,2025-11
554.3933101616997,39.97002809852983,476.05349462752724,632.7331256958721,Italy,2025-12
465.1576699779797,75.95097089126979,316.29650244024094,614.0188375157185,Japan,2025-01
434.15647912887806,76.28526197272554,284.640113111133,583.6728451466231,Japan,2025-02
604.8401859490359,76.37232527528276,455.1531789939036,754.5271929041683,Japan,2025-03
509.2614091210296,76.4115061057334,359.4976091493297,659.0252090927295,Japan,2025-04
490.8627801860987,76.44128006573006,341.0406243251282,640.6849360470692,Japan,2025-05
538.3430376382723,76.46919958523257,388.46616052461127,688.2199147519334,Japan,2025-06
500.4225778329808,76.49677224635485,350.4916592965621,650.3534963693994,Japan,2025-07
446.3172045533569,76.52440186295124,296.33213296350266,596.3022761432111,Japan,2025-08
521.7327730166783,76.55270945663851,371.692219562708,671.7733264706485,Japan,2025-09
772.8801103886485,76.5845596176018,622.7771317662884,922.9830890110086,Japan,2025-10
845.4180806801364,76.63438804852242,695.2174401277657,995.6187212325071,Japan,2025-11
726.3332190595784,76.7747817414686,575.8574119253766,876.8090261937801,Japan,2025-12
284.0710444921406,48.9154657663252,188.19849330314122,379.9435956811399,Mexico,2025-01
280.300034933083,48.81765912355587,184.6191812413603,375.9808886248057,Mexico,2025-02
388.5670204735015,48.827644983737805,292.86659485546755,484.2674460915354,Mexico,2025-03
327.3972347270014,48.82664602377328,231.6987670345199,423.09570241948285,Mexico,2025-04
352.2083262993439,48.82674641373081,256.5096618461613,447.90699075252655,Mexico,2025-05
352.2648696307072,48.826736548396376,256.56622451322477,447.96351474818965,Mexico,2025-06
305.9229314800973,48.82673808222442,210.22428335636712,401.6215796038275,Mexico,2025-07
262.13525151984027,48.826734999808494,166.4366094375343,357.83389360214625,Mexico,2025-08
358.8578137157238,48.82676715466487,263.1591086110574,454.55651882039024,Mexico,2025-09
540.3172044700273,48.826447616352404,444.619125648945,636.0152832911095,Mexico,2025-10
580.0226089544635,48.82964662114065,484.31826019920993,675.7269577097171,Mexico,2025-11
444.47160351259754,48.79739446436416,348.8304678230496,540.1127392021455,Mexico,2025-12
333.6529436392919,4.675187258589627,324.4897449914757,342.8161422871081,Poland,2025-01
268.9048234392478,4.68129382298354,259.7296561451503,278.07999073334537,Poland,2025-02
139.4067895356761,4.682675622196935,130.22891396488643,148.58466510646576,Poland,2025-03
236.0364810891927,4.683041670253385,226.85788807739578,245.21507410098963,Poland,2025-04
223.07187129724974,4.683157624920796,213.89305101848083,232.25069157601865,Poland,2025-05
83.42818509771041,4.683201143663389,74.24927952377338,92.60709067164744,Poland,2025-06
188.11386689823792,4.68322173821891,178.9349209597138,197.29281283676204,Poland,2025-07
231.92678015652695,4.683237880628807,222.7478025794608,241.1057577335931,Poland,2025-08
295.75662441535883,4.6832611828256026,286.5776011668262,304.9356476638915,Poland,2025-09
339.9316648705271,4.683302758213728,330.7525601357311,349.11076960532307,Poland,2025-10
303.05025924061243,4.683357549786616,293.8710471163069,312.22947136491797,Poland,2025-11
359.6737407052481,4.683266933953654,350.4947061847116,368.8527752257846,Poland,2025-12
290.7309480559872,38.1059603226999,216.0446382271831,365.4172578847913,South Africa,2025-01
273.3333851220089,39.810859405011,195.30553449459967,351.36123574941814,South Africa,2025-02
187.4861816580688,40.148450562342354,108.79666452079091,266.1756987953467,South Africa,2025-03
219.93539256448796,40.234098471167435,141.07800861056174,298.79277651841414,South Africa,2025-04
162.98197468679095,40.260633990034364,84.07258207157446,241.89136730200744,South Africa,2025-05
80.88704221831523,40.26991641010049,1.9594563940797656,159.81462804255068,South Africa,2025-06
211.29067660092937,40.273354054781414,132.35635311692766,290.2250000849311,South Africa,2025-07
216.76082260659905,40.27456105787963,137.8241334399956,295.6975117732025,South Africa,2025-08
315.39545126845087,40.27461551372508,236.45865537035158,394.33224716655013,South Africa,2025-09
302.6531159353761,40.27337628345438,223.71874888397593,381.58748298677625,South Africa,2025-10
273.15611950186576,40.26931810290381,194.2297063381875,352.082532665544,South Africa,2025-11
295.01871000892095,40.25760078180599,216.11526237258968,373.92215764525224,South Africa,2025-12
280.1559360792786,28.28272395482129,224.72281574314064,335.58905641541656,South Korea,2025-01
228.1901727217285,28.295327715809595,172.73234946798368,283.6479959754733,South Korea,2025-02
302.19759081203125,28.29594297717015,246.73856166817868,357.6566199558838,South Korea,2025-03
268.3744604118147,28.29635223254951,212.9146291421581,323.8342916814713,South Korea,2025-04
264.2567372479977,28.296757932346715,208.79611082135006,319.71736367464536,South Korea,2025-05
280.03757833316445,28.29716356515738,224.57615688081694,335.49899978551196,South Korea,2025-06
